"flow.type.x","year","total"
"commercial",2000,496103061.73
"commercial",2001,1090528945.7955
"commercial",2002,758212757.712
"commercial",2003,1415019259.96
"commercial",2004,1471836958.049
"commercial",2005,843947012.717
"commercial",2006,1027776602.065
"commercial",2007,469597770.402
"commercial",2008,260370418.4225
"commercial",2009,1383266665.7
"commercial",2010,1813340686.286
"commercial",2011,1745288761.703
"commercial",2012,1245413498.308
"commercial",2013,2097210790.99
"illicit",2000,0
"illicit",2001,0
"illicit",2002,2699343935.4
"illicit",2003,966881223.8
"illicit",2004,753301082.29
"illicit",2005,1341767162
"illicit",2006,1783393935
"illicit",2007,2001644827.6
"illicit",2008,1997853021
"illicit",2009,2991458410
"illicit",2010,6758491062
"illicit",2011,5175289679
"illicit",2012,3116890836
"illicit",2013,0
"official",2000,1388632640.48
"official",2001,2172999173.5
"official",2002,2761899749.1
"official",2003,2651979950.5
"official",2004,2868999604.6
"official",2005,3068400117.2
"official",2006,12451840436.3
"official",2007,2878505292.9
"official",2008,3561497103.26
"official",2009,4409868687.5
"official",2010,4539878930.1
"official",2011,4594985074.5
"official",2012,4466279000
"official",2013,4795221822.3
"private",2000,143784868.63
"private",2001,69736888.25
"private",2002,102660191.02
"private",2003,110657092.55
"private",2004,216758614.33
"private",2005,277618402.53
"private",2006,257082559.84
"private",2007,455048648.49
"private",2008,429467519.55
"private",2009,324333022.77
"private",2010,473722678.31
"private",2011,556286427.47
"private",2012,544080155.3
"private",2013,596344947.1
