flow,recip,value
Cash grant,Bangladesh,620.7237747
Cash (loan/equity),Bangladesh,1941.93125
Mixed project aid,Bangladesh,532.2082786
Commodities & Food,Bangladesh,136.0932437
Technical cooperation,Bangladesh,203.4921775
GPGs & NNGOs,Bangladesh,3.870796373
Non-transfer,Bangladesh,81.11898505
Cash grant,Ethiopia,944.5664466
Cash (loan/equity),Ethiopia,1219.494277
Mixed project aid,Ethiopia,851.9617351
Commodities & Food,Ethiopia,440.0096677
Technical cooperation,Ethiopia,342.0741425
GPGs & NNGOs,Ethiopia,14.21468461
Non-transfer,Ethiopia,30.27619267
Cash grant,Uganda,328.2565888
Cash (loan/equity),Uganda,566.8745695
Mixed project aid,Uganda,644.8914645
Commodities & Food,Uganda,85.67250228
Technical cooperation,Uganda,167.0640129
GPGs & NNGOs,Uganda,5.533345049
Non-transfer,Uganda,11.00891069
